OBS,ID,SAMPL,AGE,SEX,HD,TT,DL,DB,CA,SG,ER,CL,PC
350,927,74,A,M,0,3,1,3,0,6,0,0,0
183,652,91,A,M,0,0,0,0,0,0,0,0,0
193,669,91,S,M,0,0,0,0,0,0,0,0,0
194,670,91,A,F,11,34,0,0,0,0,0,0,0
196,672,91,A,F,14,0,0,0,0,0,0,0,0
197,673,91,A,M,0,12,1,0,0,0,0,0,0
198,674,91,A,F,1,0,0,1,0,0,0,0,0
199,676,91,A,M,0,0,0,0,4,0,0,0,0
200,677,91,A,M,0,0,0,0,0,0,0,0,0
201,682,91,A,M,19,6,0,0,0,0,0,0,0
202,683,91,A,F,0,0,0,0,0,0,0,0,0
228,714,91,A,M,1,0,0,0,0,0,2,0,0
229,715,91,A,F,2,7,0,0,1,0,0,0,0
230,716,91,A,M,1,0,0,0,0,0,0,0,0
232,718,91,A,F,0,0,0,0,0,0,0,0,0
233,719,91,A,M,1,0,0,0,0,0,0,0,0
234,720,91,A,M,0,18,0,4,0,0,0,0,0
235,726,91,A,M,0,0,0,0,1,0,0,0,0
236,730,91,A,F,0,0,0,0,0,0,0,0,0
237,731,91,A,F,0,0,0,0,0,0,0,0,0
251,754,91,S,M,2,36,0,0,2,0,0,0,0
