Year,Expt/Location,Aerated/Flowthrough/Neither,Temperature,Container/Individual_#,Pred,PredSource,PredSize,Prey,PreySource,PreySize,Risellopsis_varia height,Drilled?,Prey_post-consumption_Weight,with_operculum_or_radula?,operc_weight,est._%_consumed,leftover_tissue_weight_(dried),Comment,Start_1st,Start_2nd,Exact_Start,End_1st,End_2nd,Exact_End,Min_(days),Max_(days),Midpoint_(days),Start_+_End_Windows,Inverse Window (for Weighting),Both_Start_and_End_within_+/-2hr24min__window
2005,H-Times-TopLab-MidTemp,Aerated,14.5,c5-1,Haustrum haustorium,Check datasheets,42.9,Haustrum scobina,Tauranga Head,13.4,,0,0.244,1,,100,0,,29/06/2005 23:13,30/06/2005 08:39,,30/06/2005 15:48,01/07/2005 09:07,,0.3,1.41,0.86,26:45:00,0.89,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c18-1,Haustrum haustorium,Check datasheets,44.1,Haustrum scobina,Tauranga Head,15.9,,0,0.578,1,,100,0,,29/06/2005 10:10,29/06/2005 10:15,,30/06/2005 15:52,01/07/2005 08:52,,1.23,1.95,1.59,17:05:00,1.39,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c13-1,Haustrum haustorium,Check datasheets,34.9,Haustrum scobina,Tauranga Head,14.4,,0,0.379,1,,100,0,,29/06/2005 19:51,29/06/2005 21:41,,30/06/2005 15:52,01/07/2005 08:52,,0.76,1.54,1.15,18:50:00,1.26,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c10-1,Haustrum haustorium,Check datasheets,35.9,Patelloida corticata,?Lighthouse Reef,15.3,,0,0.218,0,,98,0.002,,29/06/2005 23:16,30/06/2005 08:44,,30/06/2005 15:52,01/07/2005 08:52,,0.3,1.4,0.85,26:28:00,0.9,0
2005,H-Times-TopLab-HighTemp,Aerated,18.5,c1-1,Haustrum haustorium,Check datasheets,31.7,Haustrum scobina,Tauranga Head,17.2,,0,0.797,1,,50,,digestive (?) not eaten,30/06/2005 10:20,30/06/2005 11:34,,30/06/2005 15:52,01/07/2005 08:52,,0.18,0.94,0.56,18:14:00,1.3,0
2005,H-Times-TopLab-LowTemp,Aerated,10,c21-1,Haustrum haustorium,Check datasheets,26.5,Siphonaria australis,EPFS & ?Lighthouse Reef,10,,0,0.06,0,,95,0.004,,30/06/2005 15:43,01/07/2005 08:40,,01/07/2005 08:40,01/07/2005 18:23,,0,1.11,0.56,26:40:00,0.89,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c23-1,Haustrum haustorium,Check datasheets,24.7,Haustrum scobina,Tauranga Head,11.4,,0,0.194,1,,100,0,,29/06/2005 10:10,29/06/2005 10:15,,01/07/2005 08:52,01/07/2005 18:37,,1.94,2.35,2.15,09:50:00,2.38,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c21-1,Haustrum haustorium,Check datasheets,23.8,Haustrum scobina,Tauranga Head,15,,0,0.392,1,,100,0,,29/06/2005 14:12,29/06/2005 15:14,,01/07/2005 08:52,01/07/2005 18:37,,1.73,2.18,1.96,10:47:00,2.18,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c2-1,Haustrum haustorium,Check datasheets,30.1,Haustrum scobina,Tauranga Head,12,,0,0.272,1,,100,0,,29/06/2005 23:16,30/06/2005 08:44,,01/07/2005 08:52,01/07/2005 18:37,,1.01,1.81,1.41,19:13:00,1.23,0
2005,H-Times-TopLab-HighTemp,Aerated,18.5,c7-1,Haustrum haustorium,Check datasheets,30.1,Haustrum scobina,Tauranga Head,15.7,,0,0.582,1,,100,0,,30/06/2005 08:44,30/06/2005 10:20,,01/07/2005 08:52,01/07/2005 18:37,,0.94,1.41,1.18,11:21:00,2.07,0
2005,H-Times-TopLab-HighTemp,Aerated,18.5,c8-1,Haustrum haustorium,Check datasheets,24,Siphonaria australis,EPFS & ?Lighthouse Reef,10.2,,0,0.054,0,,100,0,,30/06/2005 08:44,30/06/2005 10:20,,01/07/2005 08:52,01/07/2005 18:37,,0.94,1.41,1.18,11:21:00,2.07,0
